starttime,benchmarkID,format,dataset,triplestore,noclients,queryID,qps,succeeded,failed,totaltime,resultsize,penalizedtime
2019-09-16 13:13:20,4/1/2002,HTTP,SWDF,Tentris,1,136,147.0087797,6480,0,44079,390,44079
2019-09-16 13:13:20,4/1/2002,HTTP,SWDF,Tentris,4,143,623.9892183,6482,0,10388,20,10388
2019-09-16 13:13:20,4/1/2002,HTTP,SWDF,Tentris,8,19,656.4050633,6482,0,9875,5,9875
2019-09-16 13:13:20,4/1/2002,HTTP,SWDF,Tentris,16,91,661.3248954,6479,0,9797,7,9797
2019-09-16 13:13:20,4/1/2002,HTTP,SWDF,Tentris,32,6,730.3358125,6481,0,8874,1,8874
2019-09-16 13:13:20,4/1/2002,HTTP,SWDF,Virtuoso,1,7,666.563786,6479,0,9720,5,9720
2019-09-16 13:13:20,4/1/2002,HTTP,SWDF,Virtuoso,4,77,655.6365108,6479,0,9882,15,9882
2019-09-16 13:13:20,4/1/2002,HTTP,SWDF,Virtuoso,8,144,691.0040503,6483,0,9382,5,9382
2019-09-16 13:13:20,4/1/2002,HTTP,SWDF,Virtuoso,16,78,627.1416126,6479,0,10331,9,10331
2019-09-16 13:13:20,4/1/2002,HTTP,SWDF,Virtuoso,32,57,459.6013336,6479,0,14097,44,14097
2019-09-16 13:13:20,4/1/2002,HTTP,SWDF,Fuseki,1,7,660.4158174,6480,0,9812,5,9812
2019-09-16 13:13:20,4/1/2002,HTTP,SWDF,Fuseki,4,42,664.8199446,6480,0,9747,9,9747
2019-09-16 13:13:20,4/1/2002,HTTP,SWDF,Fuseki,8,62,651.1300854,6482,0,9955,14,9955
2019-09-16 13:13:20,4/1/2002,HTTP,SWDF,Fuseki,16,157,638.0549267,6482,0,10159,12,10159
2019-09-16 13:13:20,4/1/2002,HTTP,SWDF,Fuseki,32,145,679.3837124,6482,0,9541,7,9541
2019-09-16 13:13:20,4/1/2002,HTTP,DBpedia,Tentris,1,7,670.2512667,6482,0,9671,5,9671
2019-09-16 13:13:20,4/1/2002,HTTP,DBpedia,Tentris,4,37,612.8818689,6480,0,10573,17,10573
2019-09-16 13:13:20,4/1/2002,HTTP,DBpedia,Tentris,8,86,690.0958466,6480,0,9390,6,9390
2019-09-16 13:13:20,4/1/2002,HTTP,DBpedia,Tentris,16,157,635.23184,6480,0,10201,12,10201
2019-09-16 13:13:20,4/1/2002,HTTP,DBpedia,Tentris,32,31,642.1000495,6482,0,10095,11,10095
2019-09-16 13:13:20,4/1/2002,HTTP,DBpedia,Virtuoso,1,6,721.2950601,6483,0,8988,1,8988
2019-09-16 13:13:20,4/1/2002,HTTP,DBpedia,Virtuoso,4,171,629.5540659,6480,0,10293,12,10293
2019-09-16 13:13:20,4/1/2002,HTTP,DBpedia,Virtuoso,8,155,744.9988503,6480,0,8698,0,8698
2019-09-16 13:13:20,4/1/2002,HTTP,DBpedia,Virtuoso,16,141,657.6997259,6479,0,9851,6,9851
2019-09-16 13:13:20,4/1/2002,HTTP,DBpedia,Virtuoso,32,9,677.7196653,6479,0,9560,9,9560
2019-09-16 13:13:20,4/1/2002,HTTP,DBpedia,Fuseki,1,105,721.8447143,6480,0,8977,1,8977
2019-09-16 13:13:20,4/1/2002,HTTP,DBpedia,Fuseki,4,129,684.0105541,6481,0,9475,5,9475
2019-09-16 13:13:20,4/1/2002,HTTP,DBpedia,Fuseki,8,162,638.2978723,6480,0,10152,7,10152
2019-09-16 13:13:20,4/1/2002,HTTP,DBpedia,Fuseki,16,144,707.3783017,6481,0,9162,5,9162
2019-09-16 13:13:20,4/1/2002,HTTP,DBpedia,Fuseki,32,11,715.9429897,6480,0,9051,4,9051
2019-09-16 13:13:20,4/1/2002,HTTP,WatDiv,Tentris,1,156,733.1673645,6479,0,8837,2,8837
2019-09-16 13:13:20,4/1/2002,HTTP,WatDiv,Tentris,4,26,607.1395109,6480,0,10673,13,10673
2019-09-16 13:13:20,4/1/2002,HTTP,WatDiv,Tentris,8,139,737.9867912,6481,0,8782,1,8782
2019-09-16 13:13:20,4/1/2002,HTTP,WatDiv,Tentris,16,51,727.3339318,6482,0,8912,1,8912
2019-09-16 13:13:20,4/1/2002,HTTP,WatDiv,Tentris,32,84,610.8964087,6481,0,10609,16,10609
2019-09-16 13:13:20,4/1/2002,HTTP,WatDiv,Virtuoso,1,31,630.8051796,6479,0,10271,11,10271
2019-09-16 13:13:20,4/1/2002,HTTP,WatDiv,Virtuoso,4,76,597.6396828,6482,0,10846,16,10846
2019-09-16 13:13:20,4/1/2002,HTTP,WatDiv,Virtuoso,8,18,547.6049675,6482,0,11837,24,11837
2019-09-16 13:13:20,4/1/2002,HTTP,WatDiv,Virtuoso,16,67,777.8844999,6479,0,8329,10,8329
2019-09-16 13:13:20,4/1/2002,HTTP,WatDiv,Virtuoso,32,17,668.7306502,6480,0,9690,14,9690
2019-09-16 13:13:20,4/1/2002,HTTP,WatDiv,Fuseki,1,11,710.7283896,6479,0,9116,4,9116
2019-09-16 13:13:20,4/1/2002,HTTP,WatDiv,Fuseki,4,82,466.2205914,6480,0,13899,39,13899
2019-09-16 13:13:20,4/1/2002,HTTP,WatDiv,Fuseki,8,29,563.3423181,6479,0,11501,28,11501
2019-09-16 13:13:20,4/1/2002,HTTP,WatDiv,Fuseki,16,107,671.4330121,6480,0,9651,5,9651
2019-09-16 13:13:20,4/1/2002,HTTP,WatDiv,Fuseki,32,60,626.4745697,6479,0,10342,12,10342